MouseID,Lifespan.Zsc
DEH_164.2,1.2578914490000002
DEH_164.3,-2.154038119
DEH_3.1,-1.382447177
DEH_3.2,-0.45132899299999996
DEH_79.1,0.004463124000000001
DEH_79.2,0.782565383
DEH_103.1,0.115155496
DEH_103.2,-0.9364220329999999
DEH_103.3,1.088597233
DEH_104.1,-0.26250083
DEH_104.2,1.316493292
DEH_104.3,0.066320626
DEH_39.1,0.671873011
DEH_39.2,0.313750633
DEH_40.1,1.2741697379999999
DEH_40.2,0.160734708
DEH_40.3,-0.405749782
DEH_50.1,-0.20064332899999998
DEH_50.2,1.228590527
DEH_50.3,-0.29505741
DEH_89.1,0.323517607
DEH_89.2,-0.34063662200000006
DEH_89.3,-0.13227451099999998
DEH_106.1,-1.1122275640000001
DEH_106.2,1.5509006669999998
DEH_106.3,-0.337380964
DEH_111.1,-0.18436503899999998
DEH_111.2,0.632805115
DEH_111.3,-2.1149702230000003
DEH_112.1,0.040275362
DEH_112.2,1.264402764
DEH_112.3,1.44997527
DEH_144.1,0.14120076
DEH_144.2,0.5709476139999999
DEH_144.3,-0.36017057
DEH_147.1,-1.13501717
DEH_147.2,-0.7052703159999999
DEH_147.3,-0.29180175199999997
DEH_157.1,-1.20013033
DEH_157.2,-2.421002074
DEH_157.3,1.043018022
DEH_108.1,2.573177274
DEH_44.2,1.267658422
DEH_44.3,-0.607600577
DEH_101.2,0.518857086
DEH_101.3,-0.868053215
DEH_108.2,1.762518436
DEH_108.3,1.339282898
DEH_124.1,0.795588015
DEH_124.2,1.6941496180000002
DEH_124.3,1.4304413219999998
DEH_140.1,-0.526209127
DEH_140.3,-0.34389228
DEH_150.1,0.567691956
DEH_150.2,-1.1447841440000002
DEH_150.3,-1.870795875
DEH_153.1,0.860701174
DEH_153.3,0.310494975
DEH_154.1,-0.526209127
DEH_154.3,0.590481562
DEH_156.1,-0.070417009
DEH_156.2,-0.5522543910000001
DEH_156.3,0.111899838
DEH_117.1,-0.43830636100000003
DEH_117.2,0.310494975
DEH_117.3,0.45048826799999997
DEH_129.1,-0.073672667
DEH_129.3,0.61001551
DEH_141.1,-1.1447841440000002
DEH_141.2,-1.21640862
DEH_145.1,0.014230098
DEH_145.2,1.5346223769999998
DEH_145.3,-2.219151279
DEH_2.3,-1.561508366
DEH_2.4,-0.21366596
DEH_37.1,0.128178128
DEH_37.3,0.9583709140000001
DEH_151.1,0.163990366
DEH_151.3,0.01097444
DEH_90.1,-0.968978613
DEH_90.3,0.056553652
DEH_115.1,0.7337305129999999
DEH_115.2,0.824888937
DEH_115.3,-1.1089719059999998
DEH_116.1,0.232359183
DEH_116.2,1.300215002
DEH_116.3,-0.041116087
DEH_167.1,0.095621548
DEH_167.2,1.782052384
DEH_167.3,-1.5419744180000001
DEH_55.1,-0.155064117
DEH_55.2,0.0012074660000000001
DEH_55.3,0.0012074660000000001
DEH_55.6,-2.001022194
DEH_55.7,1.072318943
DEH_55.8,-0.086695299
